編號,語別,詞語,,音檔
80001,27,a’ase,,3270232.mp3
80002,27,aba,,3270701.mp3
80003,27,ababay,,3270112.mp3
80004,27,ababiraw,,3270236.mp3
80005,27,ababong,,3270241.mp3
80006,27,abera,,3270585.mp3
80007,27,abilrili,,3270628.mp3
80008,27,abo,,3270357.mp3
80009,27,’acaciboko,,3271020.mp3
80010,27,’acase,,3270309.mp3
80011,27,’acay,,3270907.mp3
80012,27,acilay,,3270577.mp3
80013,27,’acoga,ne,3270622.mp3
80014,27,’acolro,,3270161.mp3
80015,27,acongolo,,3270465.mp3
80016,27,’adali,,3270664.mp3
80017,27,’adalro,,3270477.mp3
80018,27,’adavace,,3270648.mp3
80019,27,’ado,,3270169.mp3
80020,27,adreme,,3270374.mp3
80021,27,adring,,3270485.mp3
80022,27,’aeene,,3270518.mp3
80023,27,aga,,3270576.mp3
80024,27,’agai,,3270590.mp3
80025,27,agane,,3270092.mp3
80026,27,’agay,,3270253.mp3
80027,27,agi,,3270101.mp3
80028,27,agi ka ababay,,3270103.mp3
80029,27,agi ka sawalay,,3270102.mp3
80030,27,agoco,,3270726.mp3
80031,27,ahowa,ne,3271065.mp3
80032,27,ahwahwa,ne,3270995.mp3
80033,27,’aidi,,3270751.mp3
80034,27,’a’idrengere,,3271030.mp3
80035,27,ai’ithirolo,,3270893.mp3
80036,27,aikela,,3270674.mp3
80037,27,airang,,3270124.mp3
80038,27,airo’a,ne,3270579.mp3
80039,27,’aiso,,3270310.mp3
80040,27,aivigivigi,,3270529.mp3
80041,27,’a’iya,ne,3270660.mp3
80042,27,’akame,,3270863.mp3
80043,27,’akameale,,3270872.mp3
80044,27,akanekanea ka madro,,3270275.mp3
80045,27,akase,,3271064.mp3
80046,27,akece,,3270210.mp3
80047,27,’akela,ne,3270499.mp3
80048,27,alalingo,,3270421.mp3
80049,27,alalobay,,3270203.mp3
80050,27,’alang,,3270623.mp3
80051,27,alay,,3270556.mp3
80052,27,’aledra,,3270874.mp3
80053,27,alibaebang,,3270213.mp3
80054,27,’along,,3270343.mp3
80055,27,’alraingi,,3271060.mp3
80056,27,alralregele,,3270220.mp3
80057,27,’alrayngi,,3270783.mp3
80058,27,’alreme,,3270513.mp3
80059,27,’alribate,,3270651.mp3
80060,27,’alridring,,3270570.mp3
80061,27,alrima,,3270138.mp3
80062,27,alrisa’esa’e,,3270398.mp3
80063,27,alrivadrang,,3270150.mp3
80064,27,alronaini,,3270545.mp3
80065,27,alrono,,3270315.mp3
80066,27,amani,,3271088.mp3
80067,27,amani ino,,3270077.mp3
80068,27,’ami,,3270342.mp3
80069,27,amoli,,3270910.mp3
80070,27,amwanga,,3270676.mp3
80071,27,anea,ne,3270070.mp3
80072,27,aneanea,ne,3270071.mp3
80073,27,angato,,3270254.mp3
80074,27,angatongato,,3270388.mp3
80075,27,angeale,,3270703.mp3
80076,27,angidrakale,,3270847.mp3
80077,27,angitokadre,,3271029.mp3
80078,27,angivale,,3270039.mp3
80079,27,angodrale,,3270270.mp3
80080,27,angolringaw,,3270813.mp3
80081,27,’angolro,,3270373.mp3
80082,27,ani’alay,,3270640.mp3
80083,27,anilralrang,,3270997.mp3
80084,27,aniyaomasa,ne,3271006.mp3
80085,27,a’oy,,3270418.mp3
80086,27,arabe,,3270707.mp3
80087,27,arakai,,3271016.mp3
80088,27,’araramaw,,3270045.mp3
80089,27,aray,,3270377.mp3
80090,27,’aridi,,3270235.mp3
80091,27,asabalriya,ne,3270586.mp3
80092,27,’asabo,,3270408.mp3
80093,27,’asatedra,ne,3271035.mp3
80094,27,asi,,3270079.mp3
80095,27,asi ’i,,3271042.mp3
80096,27,’asikaolo,,3271013.mp3
80097,27,asiloiya,ne,3271062.mp3
80098,27,asolro,,3270325.mp3
80099,27,’asoro,,3271026.mp3
80100,27,atatabang,,3270211.mp3
80101,27,atatimalaw,,3270218.mp3
80102,27,atatolrale,,3270225.mp3
80103,27,’atenga,ne,3271058.mp3
80104,27,athang,,3270610.mp3
80105,27,athay,,3270164.mp3
80106,27,’athingathingale,,3270827.mp3
80107,27,ati,,3270156.mp3
80108,27,atodralro,,3270824.mp3
80109,27,’atong,,3270900.mp3
80110,27,’atwanaw,,3271037.mp3
80111,27,avava,,3270158.mp3
80112,27,avelevele,,3270742.mp3
80113,27,aw’awko,,3270251.mp3
80114,27,awlro,,3270136.mp3
80115,27,aydri,,3270773.mp3
80116,27,azazame,,3270192.mp3
80117,27,baa,,3270157.mp3
80118,27,baase,,3270569.mp3
80119,27,babalra,ne,3270533.mp3
80120,27,babiyabila ladreke,,3270427.mp3
80121,27,baboy,,3270201.mp3
80122,27,baeke,,3270178.mp3
80123,27,bakale,,3270520.mp3
80124,27,bakisiyo,,3270894.mp3
80125,27,bakway,,3270292.mp3
80126,27,balace,,3270279.mp3
80127,27,balebale,,3270265.mp3
80128,27,bali,,3270293.mp3
80129,27,balrako,,3270568.mp3
80130,27,balre,,3270704.mp3
80131,27,balrenga,,3270881.mp3
80132,27,balrilawlaw,,3270429.mp3
80133,27,balrithi,,3270888.mp3
80134,27,balrotai,,3270646.mp3
80135,27,bangate,,3270009.mp3
80136,27,baowa,ne,3270957.mp3
80137,27,barang,,3270147.mp3
80138,27,barasolo,,3270399.mp3
80139,27,barici,,3270919.mp3
80140,27,baringiyalay,,3270280.mp3
80141,27,barobarowa,ne,3270604.mp3
80142,27,barongolo,,3270390.mp3
80143,27,base,,3270587.mp3
80144,27,baseng,,3270922.mp3
80145,27,batoko,,3270584.mp3
80146,27,bava,ne,3270581.mp3
80147,27,bay,,3270635.mp3
80148,27,baza,,3270117.mp3
80149,27,bazo,,3270387.mp3
80150,27,be’a,,3270740.mp3
80151,27,beceng,,3270593.mp3
80152,27,bekela,ne,3270940.mp3
80153,27,bekelay,,3270038.mp3
80154,27,belebele,,3270252.mp3
80155,27,beleng,,3270487.mp3
80156,27,bena,ne,3270227.mp3
80157,27,bengelray,,3270260.mp3
80158,27,berathe,,3270578.mp3
80159,27,bethebethe,,3270708.mp3
80160,27,bibiya,ne,3270185.mp3
80161,27,bicoka,,3270163.mp3
80162,27,bilibili,,3270719.mp3
80163,27,bitake,,3270721.mp3
80164,27,biya,ne,3270257.mp3
80165,27,bo’a’e,,3270190.mp3
80166,27,bobong,,3270600.mp3
80167,27,boboto,,3270216.mp3
80168,27,bokolo,,3270159.mp3
80169,27,boo,,3270515.mp3
80170,27,borarase,,3270605.mp3
80171,27,borasi,,3270307.mp3
80172,27,botolo,,3270595.mp3
80173,27,bwate,,3270145.mp3
80174,27,caki,,3270852.mp3
80175,27,calraviya,ne,3270440.mp3
80176,27,calringa,,3270131.mp3
80177,27,caobo,,3270340.mp3
80178,27,cayli,,3270481.mp3
80179,27,cebecebe,,3270650.mp3
80180,27,ceele,,3270806.mp3
80181,27,ce’era,ne,3270598.mp3
80182,27,cekele,,3270615.mp3
80183,27,celra,,3270696.mp3
80184,27,ciboko,,3270734.mp3
80185,27,cicigiya,ne,3270768.mp3
80186,27,ciki’i,,3271014.mp3
80187,27,cilrake,,3270155.mp3
80188,27,cilri,,3271032.mp3
80189,27,coboso,,3270256.mp3
80190,27,colo,,3270851.mp3
80191,27,colrolo,,3270689.mp3
80192,27,comay,,3270209.mp3
80193,27,cosa,ne,3270979.mp3
80194,27,daane,,3270435.mp3
80195,27,dadavace,,3270638.mp3
80196,27,dae,,3270385.mp3
80197,27,daedae,,3270489.mp3
80198,27,daikong,,3270589.mp3
80199,27,daki’i,,3271019.mp3
80200,27,dako’alre,,3270181.mp3
80201,27,dalramiya,ne,3270514.mp3
80202,27,dalrili,,3270358.mp3
80203,27,dameke,,3270688.mp3
80204,27,dare’e,,3271040.mp3
80205,27,davace,,3270639.mp3
80206,27,dawlo,,3270812.mp3
80207,27,dayli,,3270963.mp3
80208,27,deethe,,3270959.mp3
80209,27,dekele,,3270180.mp3
80210,27,dingding,,3270237.mp3
80211,27,dingki,,3270335.mp3
80212,27,direrele,,3270603.mp3
80213,27,dola,,3270162.mp3
80214,27,domolo,,3270731.mp3
80215,27,domolo dae,,3270392.mp3
80216,27,dona’isi,,3270761.mp3
80217,27,dorase,,3270531.mp3
80218,27,doray,,3270591.mp3
80219,27,dra’ale,,3270141.mp3
80220,27,drakale,,3271036.mp3
80221,27,drakerale,,3270386.mp3
80222,27,dralray,,3270682.mp3
80223,27,dralreke,,3270887.mp3
80224,27,dramare,,3270404.mp3
80225,27,drangedrang,,3271003.mp3
80226,27,dra’olro,,3270166.mp3
80227,27,draydray,,3270176.mp3
80228,27,dre’ete,,3270725.mp3
80229,27,drelre,,3270313.mp3
80230,27,drelreke,,3270152.mp3
80231,27,dreredrere,,3270411.mp3
80232,27,drilra,,3270823.mp3
80233,27,drilreleme,,3270417.mp3
80234,27,dringelrese,,3270991.mp3
80235,27,drisisi,,3270763.mp3
80236,27,dromolo,,3270693.mp3
80237,27,drosa,,3270002.mp3
80238,27,drosa ka iday,,3270036.mp3
80239,27,ebelre,,3270414.mp3
80240,27,eca,ne,3270599.mp3
80241,27,ede,,3270184.mp3
80242,27,edreka,ne,3271002.mp3
80243,27,eea,,3270001.mp3
80244,27,eea ka iday,,3270035.mp3
80245,27,eene,,3270617.mp3
80246,27,"eene, si...",,3271087.mp3
80247,27,’ekake,,3270840.mp3
80248,27,’elaela,,3270814.mp3
80249,27,eleba,ne,3270629.mp3
80250,27,elebe,,3270673.mp3
80251,27,emeeme,,3270413.mp3
80252,27,’emi,,3270297.mp3
80253,27,enay,,3270384.mp3
80254,27,eneme,,3270006.mp3
80255,27,eray,,3270144.mp3
80256,27,etay,,3270363.mp3
80257,27,evege,,3270724.mp3
80258,27,gacegace,,3270698.mp3
80259,27,gacivalre,,3270759.mp3
80260,27,gaciyo,,3270242.mp3
80261,27,galrawgaw,,3270174.mp3
80262,27,galrolagola,,3270677.mp3
80263,27,gamay,,3270137.mp3
80264,27,garoco,,3270364.mp3
80265,27,gelrabe,,3270895.mp3
80266,27,gelregelre,,3270754.mp3
80267,27,gemegeme,,3270723.mp3
80268,27,giritimi,,3270330.mp3
80269,27,golrogolro,,3270884.mp3
80270,27,gomagomo,,3270765.mp3
80271,27,goong,,3270196.mp3
80272,27,habetare,,3270217.mp3
80273,27,habohabowa,ne,3270607.mp3
80274,27,hamesere,,3270990.mp3
80275,27,hasele,,3270562.mp3
80276,27,hilriyo,,3270511.mp3
80277,27,hiring,,3270987.mp3
80278,27,hoso,,3270371.mp3
80279,27,’icecelreng,,3270602.mp3
80280,27,iday,,3270034.mp3
80281,27,idiri,,3270516.mp3
80282,27,idiya,,3270785.mp3
80283,27,’igisi,,3270820.mp3
80284,27,ikidri,,3270153.mp3
80285,27,ila,ne,3270564.mp3
80286,27,’ilaka,ne,3270266.mp3
80287,27,ililing,,3270391.mp3
80288,27,iloko,,3270647.mp3
80289,27,ilrang,,3270871.mp3
80290,27,’ilri,,3270727.mp3
80291,27,imay,,3270561.mp3
80292,27,ina,ne,3271091.mp3
80293,27,inamay,,3270324.mp3
80294,27,’incai,,3270285.mp3
80295,27,iniya,ne,3271077.mp3
80296,27,iniyana,ne,3271078.mp3
80297,27,ino,,3270072.mp3
80298,27,’inolri,,3270831.mp3
80299,27,’inpici,,3270314.mp3
80300,27,’ising,,3270115.mp3
80301,27,’isiyo,,3270143.mp3
80302,27,’ito,,3270007.mp3
80303,27,’iya,,3270066.mp3
80304,27,’iya,,3270075.mp3
80305,27,’iyanga,,3270075.mp3
80306,27,ka,ne,3271089.mp3
80307,27,ka’alonga,ne,3270356.mp3
80308,27,kaang,,3270193.mp3
80309,27,kabociaciaka,ne,3270466.mp3
80310,27,kabociyaka,ne,3270490.mp3
80311,27,kac,,3270790.mp3
80312,27,kacingi,,3270541.mp3
80313,27,kadadavaka,ne,3270968.mp3
80314,27,kadalame,,3270833.mp3
80315,27,kado,,3270883.mp3
80316,27,kadray,,3270560.mp3
80317,27,kadroa,ne,3271050.mp3
80318,27,kadrokalalekete,,3271053.mp3
80319,27,kadrokiyatoma,ne,3271051.mp3
80320,27,kadrokiyomaw,,3271052.mp3
80321,27,kadromikai,,3271072.mp3
80322,27,kadromiyakaikai,,3271071.mp3
80323,27,kadrothingale,,3271057.mp3
80324,27,kadrowa,ne,3271055.mp3
80325,27,kadrowana malreme,,3270973.mp3
80326,27,kaelrea,ne,3270380.mp3
80327,27,kai,,3271056.mp3
80328,27,ka’iliya,ne,3270300.mp3
80329,27,kaingo,,3270084.mp3
80330,27,kaivai,,3270062.mp3
80331,27,kaivaiyana,ne,3270458.mp3
80332,27,kaiyasa,ne,3270483.mp3
80333,27,kakerenga,ne,3270365.mp3
80334,27,kaki ’inga,ne,3270553.mp3
80335,27,kakoza,ne,3270621.mp3
80336,27,kaladraidraza,ne,3270410.mp3
80337,27,kalaea’a,ne,3270532.mp3
80338,27,kalakecelra,ne,3270409.mp3
80339,27,kalakekecelra,ne,3270428.mp3
80340,27,kalalekete,,3271093.mp3
80341,27,kalariyariga,ne,3270426.mp3
80342,27,kalrivathale,,3270543.mp3
80343,27,kameameala,ne,3270416.mp3
80344,27,kamoraw,,3270303.mp3
80345,27,kanahoving,,3270395.mp3
80346,27,kane,,3270786.mp3
80347,27,kangkang,,3270502.mp3
80348,27,karadare,,3270567.mp3
80349,27,karadrare,,3270379.mp3
80350,27,karara,ne,3270200.mp3
80351,27,karidrang,,3270302.mp3
80352,27,karilay,,3270927.mp3
80353,27,katha,ne,3271067.mp3
80354,27,kawai,,3270064.mp3
80355,27,kawlai,,3270966.mp3
80356,27,kawriva,,3270807.mp3
80357,27,kece,,3270555.mp3
80358,27,kela,ne,3270636.mp3
80359,27,kelanga,,3270675.mp3
80360,27,kelraiya,,3270896.mp3
80361,27,kelray,,3270685.mp3
80362,27,kensase,,3270120.mp3
80363,27,ketekete,,3270710.mp3
80364,27,ki,,3271090.mp3
80365,27,kiadringai,,3271041.mp3
80366,27,ki’aete,,3270818.mp3
80367,27,ki’alang ki bazabaza,ne,3270923.mp3
80368,27,kibay,,3270658.mp3
80369,27,kicakowa,ne,3270856.mp3
80370,27,kidreseng,,3270656.mp3
80371,27,kidring,,3270359.mp3
80372,27,ki’elaela,,3270816.mp3
80373,27,ki’ing,,3270536.mp3
80374,27,kikai,,3270063.mp3
80375,27,kilalava,,3270865.mp3
80376,27,kilangai,,3270630.mp3
80377,27,kilrala,,3270822.mp3
80378,27,kilrong,,3270507.mp3
80379,27,kinaomasa,ne,3270139.mp3
80380,27,kiragay,,3270837.mp3
80381,27,kisalro,,3270637.mp3
80382,27,kisiya,ne,3270575.mp3
80383,27,kivaevang,,3270906.mp3
80384,27,kiyaboli,,3270974.mp3
80385,27,kiyadolro,,3270955.mp3
80386,27,kiyalrala,ne,3270612.mp3
80387,27,kiyalralraw,,3270897.mp3
80388,27,kiyalronglrong,,3271021.mp3
80389,27,kiyangeange,,3270908.mp3
80390,27,kiyaragay,,3270841.mp3
80391,27,kiyatoma,ne,3270074.mp3
80392,27,kiyokai,,3270530.mp3
80393,27,kiyolri,,3270282.mp3
80394,27,ko,,3271089.mp3
80395,27,koco,,3270219.mp3
80396,27,kodrolo,,3270037.mp3
80397,27,koiga,ne,3270078.mp3
80398,27,kokoy,,3270249.mp3
80399,27,kolaw,,3270609.mp3
80400,27,kolaza,ne,3271001.mp3
80401,27,kolini,,3270051.mp3
80402,27,kolokolo,,3270188.mp3
80403,27,kolroco,,3270306.mp3
80404,27,komiya,ne,3270461.mp3
80405,27,komiyaiya,ne,3270468.mp3
80406,27,konai,,3270050.mp3
80407,27,konako,,3270047.mp3
80408,27,kono,,3270558.mp3
80409,27,konomi,,3270049.mp3
80410,27,korisi,,3270308.mp3
80411,27,korokoro,,3270780.mp3
80412,27,koso,,3270046.mp3
80413,27,kota,,3270059.mp3
80414,27,koto,,3270867.mp3
80415,27,kotrakilri,,3270859.mp3
80416,27,koza,ne,3270456.mp3
80417,27,kwac,,3270790.mp3
80418,27,kwakwang,,3270690.mp3
80419,27,kwane,,3270786.mp3
80420,27,kwang,,3270519.mp3
80421,27,kwani,,3270048.mp3
80422,27,kwasa,ne,3271083.mp3
80423,27,kwatholra’ay,,3270793.mp3
80424,27,labiti,,3270559.mp3
80425,27,laceng,,3270580.mp3
80426,27,lalrlalr,,3270233.mp3
80427,27,lamani,,3271073.mp3
80428,27,lamasakacekele,,3270093.mp3
80429,27,lamatakataka,,3270096.mp3
80430,27,lamikai,,3271081.mp3
80431,27,lamiyaikai,,3270065.mp3
80432,27,lamo,,3270412.mp3
80433,27,lamomo,,3270301.mp3
80434,27,langai,,3270634.mp3
80435,27,langoy,,3270711.mp3
80436,27,la’o,,3270898.mp3
80437,27,laobo,,3270861.mp3
80438,27,laong,,3270250.mp3
80439,27,latadre,,3270448.mp3
80440,27,lawlaw,,3270585.mp3
80441,27,ledra,,3270952.mp3
80442,27,le’ele’e,,3270286.mp3
80443,27,lengelenge,,3270826.mp3
80444,27,leseme,,3270891.mp3
80445,27,liba,ne,3270509.mp3
80446,27,libi,,3270393.mp3
80447,27,ligaw,,3270368.mp3
80448,27,likace,,3270415.mp3
80449,27,lika’e,,3270679.mp3
80450,27,lingaw,,3271027.mp3
80451,27,lingo,,3270354.mp3
80452,27,liyaw,,3270425.mp3
80453,27,liyogonga,ne,3270430.mp3
80454,27,lo,,3271010.mp3
80455,27,loasanenga,ne,3270469.mp3
80456,27,locayli,,3270454.mp3
80457,27,loceele,,3270678.mp3
80458,27,loiga,ne,3270069.mp3
80459,27,loigaiganenga,ne,3270474.mp3
80460,27,loiyasi,,3271079.mp3
80461,27,lolodro,,3270498.mp3
80462,27,lomase,,3270348.mp3
80463,27,lomiya,ne,3270472.mp3
80464,27,lomiyaiya,ne,3270470.mp3
80465,27,long,,3270339.mp3
80466,27,longkiyaw,,3270121.mp3
80467,27,loo,,3270199.mp3
80468,27,loza,ne,3270457.mp3
80469,27,lraang,,3270443.mp3
80470,27,lrabo,,3270521.mp3
80471,27,lrabwale,,3270641.mp3
80472,27,lraceng,,3270962.mp3
80473,27,lradrang,,3270706.mp3
80474,27,lrakedale,,3270753.mp3
80475,27,lrakoyli,,3270879.mp3
80476,27,lralribeng,,3270449.mp3
80477,27,lramolo,,3270501.mp3
80478,27,lrana,ne,3270382.mp3
80479,27,lrangele,,3270331.mp3
80480,27,lraodro,,3270497.mp3
80481,27,lrawnga,ne,3270434.mp3
80482,27,lrawtiya,ne,3270128.mp3
80483,27,lrayli,,3270517.mp3
80484,27,lre’ang,,3270557.mp3
80485,27,lree,,3270177.mp3
80486,27,lreede,,3270791.mp3
80487,27,lre’eng,,3270043.mp3
80488,27,lrekelreke,,3270546.mp3
80489,27,lrenege,,3270439.mp3
80490,27,lribang,,3270436.mp3
80491,27,lridame,,3270172.mp3
80492,27,lriding,,3270539.mp3
80493,27,lri’esai,,3271017.mp3
80494,27,lri’ethela,,3270870.mp3
80495,27,lri’ethele,,3270842.mp3
80496,27,lrikolaw,,3270207.mp3
80497,27,lriloko,,3270296.mp3
80498,27,lrima,,3270005.mp3
80499,27,lringaw,,3270134.mp3
80500,27,lrino,,3270420.mp3
80501,27,lrithabolo,,3270764.mp3
80502,27,lritrong,,3271046.mp3
80503,27,lriyoso,,3270750.mp3
80504,27,lrokoco,,3270283.mp3
80505,27,lrolay,,3270110.mp3
80506,27,lrolay ka ababay,,3270108.mp3
80507,27,lrolay ka sawalay,,3270107.mp3
80508,27,lrolrong,,3270171.mp3
80509,27,lwangai,,3270634.mp3
80510,27,ma,ne,3271080.mp3
80511,27,ma’alili,,3270971.mp3
80512,27,mabalrebalre,,3270924.mp3
80513,27,mabanaw,,2270205.mp3
80514,27,mabangate,,3270033.mp3
80515,27,mabeleng,,3270930.mp3
80516,27,mabocoko,,3270795.mp3
80517,27,mabola,,3270950.mp3
80518,27,mabosoko,,3270941.mp3
80519,27,maboti’i,,3270967.mp3
80520,27,mabotolro,,3270953.mp3
